train_01  awarded_private=0.7132  best_possible=0.7132  top_by_public=portfolio_logistic
train_02  awarded_private=0.9689  best_possible=0.9689  top_by_public=portfolio_rank_top2
train_03  awarded_private=0.8205  best_possible=0.8209  top_by_public=portfolio_rank_top2
train_04  awarded_private=0.8359  best_possible=0.8359  top_by_public=portfolio_rank_top2
train_05  awarded_private=0.6895  best_possible=0.6895  top_by_public=portfolio_rank_top2
train_06  awarded_private=0.8145  best_possible=0.8145  top_by_public=portfolio_catboost
train_07  awarded_private=0.8329  best_possible=0.8329  top_by_public=portfolio_rank_top2
train_08  awarded_private=0.8505  best_possible=0.8505  top_by_public=portfolio_rank_top2
train_09  awarded_private=0.6569  best_possible=0.6569  top_by_public=portfolio_rank_top2
train_10  awarded_private=0.8572  best_possible=0.8572  top_by_public=portfolio_catboost
train_11  awarded_private=0.8196  best_possible=0.8196  top_by_public=portfolio_rank_top2
train_12  awarded_private=0.7731  best_possible=0.7731  top_by_public=portfolio_lightgbm
train_13  awarded_private=0.6448  best_possible=0.6448  top_by_public=portfolio_rank_all
train_14  awarded_private=0.8120  best_possible=0.8120  top_by_public=portfolio_rank_top2
train_15  awarded_private=0.8671  best_possible=0.8671  top_by_public=portfolio_rank_top2
train_16  awarded_private=0.9071  best_possible=0.9071  top_by_public=portfolio_catboost

MEAN awarded private = 0.8040  over 16 datasets
